response,age,income,response_pt_2,age_range,trigrams
Needed funds for rent and food,54.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Needed funds for rent and food,45-54,"[('needed', 'funds', 'rent'), ('funds', 'rent', 'food')]"
GOOD DUH,83.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  GOOD DUH,65+,[]
stay in a very tight budget,64.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? stay in a very tight budget,55-64,"[('stay', 'tight', 'budget')]"
i'll probably be kicked out of my home and homeless.,20.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  i'll probably be kicked out of my home and homeless. ,18-24,"[('probably', 'kicked', 'home'), ('kicked', 'home', 'homeless')]"
Helped me pay bills since | lost my full time Job.,31.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me pay bills since | lost my full time Job. ,25-34,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'since'), ('bills', 'since', 'lost'), ('since', 'lost', 'full'), ('lost', 'full', 'time'), ('full', 'time', 'job')]"
It is able to get me thorough,33.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  It is able to get me thorough,25-34,"[('able', 'get', 'thorough')]"
it would cause great harm,88.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? it would cause great harm,65+,"[('would', 'cause', 'great'), ('cause', 'great', 'harm')]"
we all fall off a cliff and the economy crashes,66.0,"Income: $100,001 - $150,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  we all fall off a cliff and the economy crashes ,65+,"[('fall', 'cliff', 'economy'), ('cliff', 'economy', 'crashes')]"
Helped me pay some bills.,38.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me pay some bills.,35-44,"[('helped', 'pay', 'bills')]"
Helped me pay some bills.,38.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me pay some bills.,35-44,"[('helped', 'pay', 'bills')]"
At the moment we are living paycheck to paycheck,64.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  At the moment we are living paycheck to paycheck ,55-64,"[('moment', 'living', 'paycheck'), ('living', 'paycheck', 'paycheck')]"
probably be homeless,76.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? probably be homeless,65+,[]
Loss everything,33.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Loss everything,25-34,[]
Its helped me pay bills.,41.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Its helped me pay bills.,35-44,"[('helped', 'pay', 'bills')]"
"Able to buy more things, less stress",23.0,"Income: $25,000 - $50,000","What effect has receiving this additional money had on you?  Able to buy more things, less stress",18-24,"[('able', 'buy', 'things'), ('buy', 'things', 'less'), ('things', 'less', 'stress')]"
Helped pay bills,49.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped pay bills,45-54,"[('helped', 'pay', 'bills')]"
I'd be unable to replace air conditioning,48.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'd be unable to replace air conditioning,45-54,"[('unable', 'replace', 'air'), ('replace', 'air', 'conditioning')]"
I really dont know. I am disabled.,63.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I really dont know. I am disabled.,55-64,"[('really', 'dont', 'know'), ('dont', 'know', 'disabled')]"
Very sad,33.0,"Income: $100,001 - $150,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Very sad,25-34,[]
Helped pay bills,49.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped pay bills,45-54,"[('helped', 'pay', 'bills')]"
Struggle,76.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Struggle,65+,[]
"It was very beneficial, allowing me to pay bills and buy necessities for my family.",47.0,"Income: Under $25,000","What effect has receiving this additional money had on you?     It was very beneficial, allowing me to pay bills and buy necessities for my family. ",45-54,"[('beneficial', 'allowing', 'pay'), ('allowing', 'pay', 'bills'), ('pay', 'bills', 'buy'), ('bills', 'buy', 'necessities'), ('buy', 'necessities', 'family')]"
it didn't make a huge difference ering we were playing catch up with our bills.     con:,29.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  it didn't make a huge difference ering we were playing catch up with our bills.     con: ,25-34,"[('make', 'huge', 'difference'), ('huge', 'difference', 'ering'), ('difference', 'ering', 'playing'), ('ering', 'playing', 'catch'), ('playing', 'catch', 'bills'), ('catch', 'bills', 'con')]"
HELP,67.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  HELP,65+,[]
| will pull out funds from savings,60.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | will pull out funds from savings,55-64,"[('pull', 'funds', 'savings')]"
| would be unable to pay my bills coming up.,32.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  | would be unable to pay my bills coming up. ,25-34,"[('would', 'unable', 'pay'), ('unable', 'pay', 'bills'), ('pay', 'bills', 'coming')]"
Paid off one bill,33.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Paid off one bill,25-34,"[('paid', 'one', 'bill')]"
Helped me pay the rent and bills,61.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me pay the rent and bills,55-64,"[('helped', 'pay', 'rent'), ('pay', 'rent', 'bills')]"
Helped me to move to the region of my new job,24.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me to move to the region of my new job ,18-24,"[('helped', 'move', 'region'), ('move', 'region', 'new'), ('region', 'new', 'job')]"
Would not be able to stay at home and care for autistic adult son. Would have to place him in group care and return to work.,69.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would not be able to stay at home and care for autistic adult son. Would have to place him in group care and return to work.,65+,"[('would', 'able', 'stay'), ('able', 'stay', 'home'), ('stay', 'home', 'care'), ('home', 'care', 'autistic'), ('care', 'autistic', 'adult'), ('autistic', 'adult', 'son'), ('adult', 'son', 'would'), ('son', 'would', 'place'), ('would', 'place', 'group'), ('place', 'group', 'care'), ('group', 'care', 'return'), ('care', 'return', 'work')]"
I'm not getting any aid. Just the one time 1200. If I didn't get it | wouldn't have been able to fill my kids prescriptions.,50.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'm not getting any aid. Just the one time 1200. If I didn't get it | wouldn't have been able to fill my kids prescriptions. ,45-54,"[('getting', 'aid', 'one'), ('aid', 'one', 'time'), ('one', 'time', '1200'), ('time', '1200', 'get'), ('1200', 'get', 'would'), ('get', 'would', 'able'), ('would', 'able', 'fill'), ('able', 'fill', 'kids'), ('fill', 'kids', 'prescriptions')]"
I have $20 in my account what do u think,46.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I have $20 in my account what do u think,45-54,"[('20', 'account', 'u'), ('account', 'u', 'think')]"
"not much as long as social security continues. without SSec, I'd starve",75.0,"Income: $25,000 - $50,000","What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  not much as long as social security continues. without SSec, I'd starve ",65+,"[('much', 'long', 'social'), ('long', 'social', 'security'), ('social', 'security', 'continues'), ('security', 'continues', 'without'), ('continues', 'without', 'ssec'), ('without', 'ssec', 'starve')]"
My daughter and i already lost our home before the pandemic so it would make things even harder without the help,40.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  My daughter and i already lost our home before the pandemic so it would make things even harder without the help    ,35-44,"[('daughter', 'already', 'lost'), ('already', 'lost', 'home'), ('lost', 'home', 'pandemic'), ('home', 'pandemic', 'would'), ('pandemic', 'would', 'make'), ('would', 'make', 'things'), ('make', 'things', 'even'), ('things', 'even', 'harder'), ('even', 'harder', 'without'), ('harder', 'without', 'help')]"
"It would be financially devastating to me, and I would struggle greatly to make ends meet, or even maintain my housing.",40.0,"Income: Under $25,000","What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  It would be financially devastating to me, and I would struggle greatly to make ends meet, or even maintain my housing.",35-44,"[('would', 'financially', 'devastating'), ('financially', 'devastating', 'would'), ('devastating', 'would', 'struggle'), ('would', 'struggle', 'greatly'), ('struggle', 'greatly', 'make'), ('greatly', 'make', 'ends'), ('make', 'ends', 'meet'), ('ends', 'meet', 'even'), ('meet', 'even', 'maintain'), ('even', 'maintain', 'housing')]"
I'm facing eviction because we don't have the law that our landlord can't put us out so I'm facing eviction luckily we are not getting our power cut off because the power company is working with people,48.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'm facing eviction because we don't have the law that our landlord can't put us out so I'm facing eviction luckily we are not getting our power cut off because the power company is working with people ,45-54,"[('facing', 'eviction', 'law'), ('eviction', 'law', 'landlord'), ('law', 'landlord', 'ca'), ('landlord', 'ca', 'put'), ('ca', 'put', 'us'), ('put', 'us', 'facing'), ('us', 'facing', 'eviction'), ('facing', 'eviction', 'luckily'), ('eviction', 'luckily', 'getting'), ('luckily', 'getting', 'power'), ('getting', 'power', 'cut'), ('power', 'cut', 'power'), ('cut', 'power', 'company'), ('power', 'company', 'working'), ('company', 'working', 'people')]"
