0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"It definitely helped. Age: 38, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It is in savings Age: 32, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"gave to charity Age: 66, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Helped buy extra groceries Age: 38, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"should have been on a monthly basis with all thats lingering on and getting worst.  Age: 66, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"the receivng is very good Age: 41, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It helped for some of my bills. Age: 79, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Did nothing. Needed more to make ends meet  Age: 19, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It has kicked the can down the road a few months.  Age: 67, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It has kicked the can down the road a few months.  Age: 67, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It helped me with work-related expenses while working from home.  Age: 30, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"It help to pay bills Age: 50, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"It has allowed me to keep paying my rent and bills  Age: 20, Income: Under $25,000 il DATA FOR PROGRESS "
"It gave me the chance to go back to school with out more debt  Age: 23, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Blessed Age: 31, Income: More than $150,000 il DATA FOR PROGRESS "
"It helped to pay bills & get extra supplies. Age: 46, Income: Under $25,000 «il DATA FOR PROGRESS "
"It was not enough to make an impact Age: 37, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"Prevented homelessness Age: 41, Income: Under $25,000 il DATA FOR PROGRESS "
"It helped Age: 66, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"We've been able to bills Age: 25, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"For the better since the kids are home all day they eat way more food then usual.  Age: 39, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"Helped with bills Age: 48, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"It was helpful Age: 61, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It has helped. Age: 73, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Not enough Age: 29, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"It helped out my budget greatly. Age: 48, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Able to buy griceries Age: 60, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"Ajuda muito Age: 33, Income: More than $150,000 «il DATA FOR PROGRESS "
"It helped pay rent Age: 32, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"great help with groceries and utilities Age: 61, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"I was able to pay extra on my credit cards Age: 75, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It helped to fix some broken things around our house  Age: 60, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"It helped to fix some broken things around our house  Age: 60, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"it provided needed $ not otherwise available when most needed  Age: 69, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Helps pay bills Age: 34, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"i was grateful for it. Age: 62, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"Help me pay my bills and get food Age: 37, Income: Under $25,000 «il DATA FOR PROGRESS "
"It was good I got to pay bills Age: 26, Income: Under $25,000 «il DATA FOR PROGRESS "
"It helped a little in allowing me to purchase groceries for delivery rather than having to shop at a store.  Age: 60, Income: Under $25,000 il DATA FOR PROGRESS "
"It has helped a great deal Age: 65, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"it helped pay for somme bills Age: 75, Income: Under $25,000 «il DATA FOR PROGRESS "
"paying bills Age: 30, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"It helped because | was homeless Age: 42, Income: Under $25,000 il DATA FOR PROGRESS "
"it has helped me pay my bills Age: 59, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Helped pay bills Age: 27, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Peace of mind. Age: 74, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It's helped a little but not enough Age: 40, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"paid down debt Age: 56, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"Paid rent Age: 31, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Paid one month bills Age: 63, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It went to bills Age: 38, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"Greatly Age: 54, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Help me keep my pay my bills and food, but my unemployment has run out and I haven’t received a check since June/16/2020, so now | am struggling to pay my bills.  Age: 58, Income: Under $25,000 il DATA FOR PROGRESS "
Indonesian ~ ° English ~  bisa beli sayuran * can buy vegetables untuk keluarga for my family saya 
"I've been able to safely pay my bills Age: 32, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Bisa beli sayuran untuk kelyarga saya Age: 30, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"Paid for funeral expenses Age: 70, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"I can pay my bills & put food on the table. But the money is running out. | wish the federal govt. would take care of the taxpayers like they take care of big corporations & Trump's cronies.  Age: 55, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It's save me from going hungry. Groceries are much more expensive, especially critical on a low income fixed income. (I couldn't leave my home to shop since | am high risk, and delivery/tip not affordable. | couldn't use my SNAP benefit online to buy fresh/perishable low carb food for diabetic diet.)  Age: 71, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"   I received the $1,200 but wasn't eligible for  the other funds. I've used it to pay rent and  bills and to buy food. However, one $1,200  check isn't enough, especially for those of us NOT getting any other assistance.     Age: 61, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Paid bills off Age: 60, Income: Under $25,000 il DATA FOR PROGRESS "
"It was not much of a help. More help is. needed  Age: 39, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Some good need more Age: 35, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"It help me with my everyday life Age: 22, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It has made a big impact on me. Age: 29, Income: Under $25,000 «il DATA FOR PROGRESS "
"good for saving Age: 36, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Good Age: 19, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"I was able to pay off debt Age: 33, Income: More than $150,000 «il DATA FOR PROGRESS "
"It has made sure i’ve had food on my plate Age: 22, Income: More than $150,000 «il DATA FOR PROGRESS "
"1 was able to pay some bills Age: 30, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Made me sa     Age: 47, Income: Under $25,000 il DATA FOR PROGRESS "
"Helped pay bills Age: 65, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"In a good way it helped me pay a lilnbit of my bills  Age: 46, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"iam using it to pay bills Age: 24, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Kept me afloat Age: 47, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"Allowed us to keep above water Age: 40, Income: More than $150,000 il DATA FOR PROGRESS "
"Helped a bit Age: 20, Income: Under $25,000 «il DATA FOR PROGRESS "
"Helped Age: 50, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"i payed my bills Age: 21, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"Helped alot Age: 30, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"1200 realy helped pay the bills Age: 35, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"We paid enough back rent so we wouldn't be evicted  Age: 49, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"made us feel more secure Age: 75, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"It’s not enough to pay bills and support myself for 4 months  Age: 20, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"it help pay bills for a month but that's about all it did  Age: 53, Income: Under $25,000 il DATA FOR PROGRESS "
"Kept me afloat for one month Age: 27, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"Great Age: 49, Income: Under $25,000 il DATA FOR PROGRESS "
"It has helped us a lot Age: 66, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"For the better since the kids are home all day they eat way more food then usual.  Age: 39, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"It has helped but im still screwed. Trump botched the coronavirus response. 100% his fault.  Age: 38, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"It helped me until | found a new job Age: 25, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"Helped our savings Age: 59, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"helped Age: 49, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Helpful Age: 61, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"It able to pay for bills Age: 20, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Helped Age: 68, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"has helped to pay some bills Age: 66, Income: Under $25,000 «il DATA FOR PROGRESS "
"Great deal Age: 31, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"Allowed me to continue to pay rent and save for the future economic collapse  Age: 23, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It helped me to pay bills since ive been unable to work, due to no childcare and kids home, as well as compromised immune system. Although, im upset that be i was looking for work before the start of the virus, ive been unable to recieve any further assistance, including help paying my ongoing rent/utilities, and the rising costs of everyone being home.  Age: 33, Income: Under $25,000 il DATA FOR PROGRESS "
